datetime,open,high,low,close,volume
2024-07-22,33.59000015258789,34.5,33.0099983215332,34.2400016784668,11000
2024-07-23,34.11000061035156,35.349998474121094,34.11000061035156,35.09000015258789,15400
2024-07-24,35.09000015258789,35.45000076293945,34.630001068115234,34.630001068115234,13200
2024-07-25,34.86000061035156,36.0,34.29999923706055,35.9900016784668,12600
2024-07-26,36.0,36.130001068115234,35.38999938964844,35.560001373291016,28100
2024-07-29,36.029998779296875,36.33000183105469,34.83000183105469,35.29999923706055,13700
2024-07-30,35.41999816894531,35.540000915527344,35.41999816894531,35.540000915527344,4600
2024-07-31,36.290000915527344,36.77000045776367,35.7400016784668,35.77000045776367,15100
2024-08-01,35.599998474121094,36.060001373291016,33.119998931884766,34.20000076293945,30400
2024-08-02,32.970001220703125,34.0,30.190000534057617,30.3700008392334,37100
2024-08-05,27.739999771118164,29.350000381469727,25.440000534057617,29.030000686645508,38700
2024-08-06,28.959999084472656,30.6200008392334,28.959999084472656,30.260000228881836,12200
2024-08-07,30.350000381469727,31.229999542236328,28.989999771118164,28.989999771118164,26500
2024-08-08,30.170000076293945,30.799999237060547,29.799999237060547,30.799999237060547,18500
2024-08-09,31.190000534057617,31.190000534057617,30.200000762939453,30.469999313354492,7100
2024-08-12,30.93000030517578,31.399999618530273,30.93000030517578,31.200000762939453,12800
2024-08-13,32.20000076293945,32.59000015258789,32.20000076293945,32.47999954223633,4800
2024-08-14,32.0099983215332,32.630001068115234,31.25,31.770000457763672,20100
2024-08-15,32.52000045776367,33.22999954223633,31.489999771118164,32.91999816894531,7800
2024-08-16,32.650001525878906,33.459999084472656,31.889999389648438,32.83000183105469,76200
2024-08-19,33.029998779296875,33.959999084472656,33.029998779296875,33.959999084472656,4900
2024-08-20,33.31999969482422,33.31999969482422,32.880001068115234,32.900001525878906,5800
2024-08-21,32.93000030517578,33.36000061035156,32.380001068115234,32.86000061035156,7400
2024-08-22,32.61000061035156,33.619998931884766,31.829999923706055,33.310001373291016,16500
2024-08-23,33.61000061035156,35.56999969482422,33.61000061035156,34.970001220703125,23300
