"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
55,"DELL","Dell Technologies Inc","Technology","Computer Hardware","USA",339790.04,30.42,524.14,1.50%,11118764
56,"DGX","Quest Diagnostics Inc","Healthcare","Diagnostics & Research","USA",26173.94,25.15,237.14,-0.94%,799031
57,"DK","Delek US Holdings Inc","Energy","Oil & Gas Refining & Marketing","USA",4400.14,20.20,71.86,-0.75%,1428028
58,"DNTH","Dianthus Therapeutics Inc","Healthcare","Biotechnology","USA",6046.51,,108.10,0.23%,638559
59,"EAT","Brinker International Inc","Consumer Cyclical","Restaurants","USA",9615.14,21.13,230.22,0.59%,815601
60,"ECPG","Encore Capital Group Inc","Financial","Credit Services","USA",2063.67,7.36,97.30,0.38%,644064
61,"EE","Excelerate Energy Inc","Energy","Oil & Gas Midstream","USA",4539.49,27.57,40.03,0.83%,307027
62,"EFXT","Enerflex Ltd","Energy","Oil & Gas Equipment & Services","Canada",2717.95,51.52,22.26,0.72%,373800
63,"ELLO","Ellomay Capital Ltd","Utilities","Utilities - Renewable","Israel",319.70,4.62,23.20,11.06%,2812
64,"ELVN","Enliven Therapeutics Inc","Healthcare","Biotechnology","USA",4346.42,,59.32,-0.55%,1113062
65,"EQPT","Equipmentshare.Com Inc","Industrials","Rental & Leasing Services","USA",4961.93,252.26,19.55,7.77%,1836426
66,"EWTX","Edgewise Therapeutics Inc","Healthcare","Biotechnology","USA",4677.58,,43.07,2.67%,826754
67,"EXPD","Expeditors International Of Washington Inc","Industrials","Integrated Freight & Logistics","USA",24542.23,27.47,188.80,0.89%,505297
68,"EZPW","EZCorp Inc","Financial","Credit Services","USA",2047.29,16.93,33.32,0.06%,525735
69,"FCFS","FirstCash Holdings Inc","Financial","Credit Services","USA",9785.55,25.73,225.62,0.76%,258124
70,"FIVE","Five Below Inc","Consumer Cyclical","Specialty Retail","USA",13884.63,22.63,252.20,5.10%,1907674
71,"FLR","Fluor Corp","Industrials","Engineering & Construction","USA",7510.90,,56.16,-2.33%,2251959
72,"FLS","Flowserve Corp","Industrials","Specialty Industrial Machinery","USA",9741.92,26.88,76.64,-0.71%,2058688
73,"FRNM","Freenome Inc","Healthcare","Diagnostics & Research","USA",1752.46,,16.31,-3.49%,622008
74,"FRPT","Freshpet Inc","Consumer Defensive","Packaged Foods","USA",3375.60,18.51,70.24,0.80%,763398
75,"FRVO","Fervo Energy Co","Utilities","Utilities - Renewable","USA",5352.90,,18.16,5.83%,7792715
76,"FTH","Faeth Therapeutics Inc","Healthcare","Biotechnology","USA",1034.91,,40.05,2.69%,275248
77,"GEF","Greif Inc","Consumer Cyclical","Packaging & Containers","USA",4428.82,21.97,85.00,-0.02%,329842
78,"GEO","Geo Group Inc","Industrials","Security & Protection Services","USA",4181.55,14.99,31.77,2.88%,1476011
79,"GH","Guardant Health Inc","Healthcare","Diagnostics & Research","USA",21660.60,,161.41,0.23%,2402454
80,"GKOS","Glaukos Corp","Healthcare","Medical Devices","USA",10467.88,,177.47,-1.60%,572616
81,"GLXY","Galaxy Digital Inc","Financial","Capital Markets","USA",10292.11,,26.33,-0.64%,3655176
82,"GPI","Group 1 Automotive Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",3585.73,12.54,300.76,5.78%,486126
83,"GRAL","GRAIL Inc","Healthcare","Diagnostics & Research","USA",3588.49,,80.34,-0.35%,434820
84,"GSAT","Globalstar Inc","Communication Services","Telecom Services","USA",10668.25,,82.34,0.44%,375588
