No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
68,PLXS,Plexus Corp,Technology,Electronic Components,USA,6575.87,36.40,246.73,0.40%,405029
69,TER,"Teradyne, Inc.",Technology,,,,,,,
70,AXGN,Axogen Inc,Healthcare,Medical Devices,USA,2595.04,,44.23,-2.33%,1124697
71,HUT,Hut 8 Corp.,Financial,,,,,,,
72,KRYS,Krystal Biotech Inc,Healthcare,Biotechnology,USA,9965.04,42.19,336.67,-0.61%,1003947
73,FIX,Comfort Systems USA Inc,Industrials,Engineering & Construction,USA,58118.86,40.63,1651.37,4.92%,833229
74,VIA,"Via Transportation, Inc.",Technology,,,,,,,
75,ATRO,Astronics Corp,Industrials,Aerospace & Defense,USA,2821.36,34.82,65.71,1.19%,2055272
76,ASTH,Astrana Health Inc,Healthcare,Medical Care Facilities,USA,1704.41,41.93,34.36,0.17%,1438089
77,PVLA,Palvella Therapeutics Inc,Healthcare,Biotechnology,USA,2169.33,,150.56,-2.44%,646462
